status_id,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154090287016006,282,163,754,5,21,135,5,0
7331091005_10154090236396006,362,1145,8857,116,65,146,6,24
7331091005_10154090180141006,468,733,4914,6,322,116,12,20
7331091005_10154090166146006,131,130,1300,2,8,110,0,0
7331091005_10154090111286006,103,900,9189,327,27,1,3,0
7331091005_10154090042751006,2217,1963,7079,42,18,934,9,12
7331091005_10154090007806006,593,821,8624,135,33,348,2,7
7331091005_10154089978091006,124,156,2261,27,6,93,1,4
7331091005_10154089857531006,52969,388676,196573,2640,208,26952,43,60
7331091005_10154089505771006,332,441,2569,13,296,111,280,24
7331091005_10154089436756006,3116,4252,12421,81,18,1214,0,3
7331091005_10154089351656006,47,58,976,10,6,1,1,0
7331091005_10154088490456006,245,372,3009,25,45,135,1,4
7331091005_10154088443586006,68,264,4541,70,31,12,2,2
7331091005_10154088437701006,52,171,2031,39,73,4,1,1
7331091005_10154088317216006,1013,2240,16025,69,482,1043,19,35
7331091005_10154088295181006,2083,4469,29268,537,69,765,3,17
7331091005_10154088275191006,657,1160,8699,40,296,102,7,17
7331091005_10154088196366006,415,1837,7648,16,326,4,1496,7
7331091005_10154088150676006,3386,3198,16279,173,46,452,0,10
7331091005_10154088141091006,899,2669,20881,314,39,518,23,12
7331091005_10154088005176006,2166,8563,18741,97,1101,311,4,2
7331091005_10154088012456006,81,29,563,5,3,48,1,0
7331091005_10154088000746006,132,0,2828,15,30,20,0,3
7331091005_10154087834091006,91,38,265,2,3,8,27,1
7331091005_10154087544381006,1485,12015,19771,685,248,29,2,14
7331091005_10154087471661006,66,67,760,4,0,15,0,1
7331091005_10154087449566006,73,131,1000,4,10,2,2,2
7331091005_10154087348201006,192,440,3173,17,7,424,1,7
7331091005_10154087255226006,4651,11109,21157,194,1000,307,1,1
7331091005_10154087252191006,121,140,1002,8,3,90,0,1
7331091005_10154087189496006,66,269,3339,34,5,2,152,3
7331091005_10154087100361006,177,249,4676,20,8,361,0,0
7331091005_10154087076631006,21,18,192,1,2,9,1,0
7331091005_10154086979781006,117,89,1256,19,3,44,0,0
7331091005_10154086193736006,2203,11108,25996,42,1873,23,4615,31
7331091005_10154086127256006,40,74,621,29,3,5,14,24
7331091005_10154086097916006,34,14,588,3,1,13,0,0
7331091005_10154085984686006,220,118,3628,6,15,189,5,50
7331091005_10154085855641006,54,477,7784,154,15,1,215,1
